session_id,date,topic,open,code_hash
w01,2026-09-04,Introduction and toolkit,no,
w02,2026-09-11,The code of life,no,
w03,2026-09-18,The molecular toolkit,no,
w04,2026-09-25,Sequencing technologies,no,
w05,2026-10-02,Markers and DNA sources,no,
w06,2026-10-09,eDNA and hybridization methods,no,
w07,2026-10-16,Comparative genomics,no,
w08,2026-10-23,Transcriptomics,no,
w09,2026-10-30,Proteomics and molecular phenotypes,no,
w10,2026-11-06,Phylogeny and phylogeography,no,
w11,2026-11-13,Population genetics,no,
w12,2026-11-20,Species interactions and applied methods,no,
w13,2026-11-27,Seminar presentations,no,
w14,2026-12-04,Practical: sampling and extraction,no,
w15,2026-12-11,Practical: PCR and sequencing,no,
w16,2026-12-18,Practical: analysis and reporting,no,
